City,Edition,Sport,Discipline,Athlete,NOC,Gender,Event,Event_gender,Medal
Munich,1972,Aquatics,Swimming,"GOULD, Shane",AUS,Women,800m freestyle,W,Silver
Munich,1972,Aquatics,Water polo,"ASCH, Peter Gregory",USA,Men,water polo,M,Bronze
Munich,1972,Aquatics,Water polo,"BARNETT, Steven William",USA,Men,water polo,M,Bronze
Munich,1972,Aquatics,Water polo,"BRADLEY, Myron Bruce",USA,Men,water polo,M,Bronze
Munich,1972,Aquatics,Water polo,"COLE, Stanley Clark",USA,Men,water polo,M,Bronze
Munich,1972,Aquatics,Water polo,"FERGUSON, James Michael",USA,Men,water polo,M,Bronze
Munich,1972,Aquatics,Water polo,"LINDROTH, Eric Emil",USA,Men,water polo,M,Bronze
Munich,1972,Aquatics,Water polo,"PARKER, John Michael",USA,Men,water polo,M,Bronze
Munich,1972,Aquatics,Water polo,"SHEERER, Gary Peter",USA,Men,water polo,M,Bronze
Munich,1972,Aquatics,Water polo,"SLATTON, James Walter",USA,Men,water polo,M,Bronze
Munich,1972,Aquatics,Water polo,"WEBB, Russell Irving",USA,Men,water polo,M,Bronze
Munich,1972,Aquatics,Water polo,"WEITZENBERG, Charles Barry",USA,Men,water polo,M,Bronze
Munich,1972,Aquatics,Water polo,"AKIMOV, Anatoli",URS,Men,water polo,M,Gold
Munich,1972,Aquatics,Water polo,"BARKALOV, Aleksei",URS,Men,water polo,M,Gold
Munich,1972,Aquatics,Water polo,"DOLGUSHIN, Aleksandr",URS,Men,water polo,M,Gold
Munich,1972,Aquatics,Water polo,"DREVAL, Aleksandr",URS,Men,water polo,M,Gold
Munich,1972,Aquatics,Water polo,"GULYAEV, Vadim",URS,Men,water polo,M,Gold
Munich,1972,Aquatics,Water polo,"KABANOV, Aleksandr",URS,Men,water polo,M,Gold
Munich,1972,Aquatics,Water polo,"MELNIKOV, Nikolai",URS,Men,water polo,M,Gold
Munich,1972,Aquatics,Water polo,"OSIPOV, Leonid",URS,Men,water polo,M,Gold
Munich,1972,Aquatics,Water polo,"SHIDLOVSKY, Aleksandr",URS,Men,water polo,M,Gold
Munich,1972,Aquatics,Water polo,"SHMUDSKY, Vladimir",URS,Men,water polo,M,Gold
Munich,1972,Aquatics,Water polo,"SOBCHENKO, Viacheslav",URS,Men,water polo,M,Gold
